itemid,ManCode,productname,UKSize,Barcode,Available Physical
32EB9635-09-XL,32EB9635,Mizuno - Core Bermuda M(m) - Black,XL,,17
32EB9635-09-XXL,32EB9635,Mizuno - Core Bermuda M(m) - Black,XXL,,20
32EBA520-09-XS,32EBA520,Mizuno - Training Short (m) - 09,XS,,20
32EBA520-09-S,32EBA520,Mizuno - Training Short (m) - 09,S,,20
32EBA520-09-M,32EBA520,Mizuno - Training Short (m) - 09,M,,20
32EBA520-09-L,32EBA520,Mizuno - Training Short (m) - 09,L,,20
32EBA520-09-XL,32EBA520,Mizuno - Training Short (m) - 09,XL,,20
32EBA520-09-XXL,32EBA520,Mizuno - Training Short (m) - 09,XXL,,20
32EBA520-09-3XL,32EBA520,Mizuno - Training Short (m) - 09,3XL,,9
32EBA520-09-4XL,32EBA520,Mizuno - Training Short (m) - 09,4XL,,20
32EA8A05-05-S,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,S,,20
32EA8A05-05-M,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,M,,1
32EA8A05-05-L,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,L,,20
32EA8A05-05-XL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,XL,,16
32EA8A05-05-XXL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,XXL,,20
32EA8A05-05-3XL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,3XL,,15
32EA8A05-05-4XL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Grey,4XL,,20
32EA8A05-14-S,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,S,,20
32EA8A05-14-M,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,M,,0
32EA8A05-14-L,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,L,,18
32EA8A05-14-XL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,XL,,20
32EA8A05-14-XXL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,XXL,,20
32EA8A05-14-3XL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,3XL,,20
32EA8A05-14-4XL,32EA8A05,Mizuno - Shizuoka Ft Tee M(m) - Navy,4XL,,19
32EA8A06-05-S,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,S,,20
32EA8A06-05-M,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,M,,20
32EA8A06-05-L,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,L,,20
32EA8A06-05-XL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,XL,,20
32EA8A06-05-XXL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,XXL,,20
32EA8A06-05-3XL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,3XL,,20
32EA8A06-05-4XL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Grey,4XL,,20
32EA8A06-14-S,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,S,,20
32EA8A06-14-M,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,M,,20
32EA8A06-14-L,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,L,,20
32EA8A06-14-XL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,XL,,20
32EA8A06-14-XXL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,XXL,,20
32EA8A06-14-3XL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,3XL,,20
32EA8A06-14-4XL,32EA8A06,Mizuno - Shizuoka Ft Polo M(m) - Navy,4XL,,20
32EA7001-14-S,32EA7001,Mizuno - Men Core Polo (m) - 14,S,,20
32EA7001-14-M,32EA7001,Mizuno - Men Core Polo (m) - 14,M,,0
32EA7001-14-L,32EA7001,Mizuno - Men Core Polo (m) - 14,L,,7
32EA7001-14-XL,32EA7001,Mizuno - Men Core Polo (m) - 14,XL,,19
32EA7001-14-XXL,32EA7001,Mizuno - Men Core Polo (m) - 14,XXL,,20
32EA7001-14-3XL,32EA7001,Mizuno - Men Core Polo (m) - 14,3XL,,20
32EA7001-14-4XL,32EA7001,Mizuno - Men Core Polo (m) - 14,4XL,,17
32EA7201-14-XS,32EA7201,Mizuno - Men Core Polo (m) - 14,XS,,20
32EA7002-10-S,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,S,,0
32EA7002-10-M,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,M,,1
32EA7002-10-L,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,L,,20
32EA7002-10-XL,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,XL,,20
32EA7002-10-XXL,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,XXL,,20
32EA7002-10-3XL,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,3XL,,20
32EA7002-10-4XL,32EA7002,Mizuno - Men Core Ss Tee(m) - 10,4XL,,9
32EA7202-10-XS,32EA7202,Mizuno - Men Core Ss Tee(m) - 10,XS,,20
32EA7002-19-S,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,S,,20
32EA7002-19-M,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,M,,20
32EA7002-19-L,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,L,,20
32EA7002-19-XL,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,XL,,20
32EA7002-19-XXL,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,XXL,,20
32EA7002-19-3XL,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,3XL,,20
32EA7002-19-4XL,32EA7002,Mizuno - Men Core Ss Tee(m) - 19,4XL,,20
32EA7202-19-XS,32EA7202,Mizuno - Men Core Ss Tee(m) - 19,XS,,20
U2EA7101-14-S,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,S,,20
U2EA7101-14-M,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,M,,20
U2EA7101-14-L,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,L,,20
U2EA7101-14-XL,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,XL,,20
U2EA7101-14-XXL,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,XXL,,0
U2EA7101-14-3XL,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,3XL,,0
