Handle,Option1 Value,Option2 Value,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
mizuno-men-core-ss-tee-m-10,XXL,,,32EA7002-10-XXL,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-10,3XL,,,32EA7002-10-3XL,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-10,4XL,,,32EA7002-10-4XL,,,Antrim,,,,9,9
mizuno-men-core-ss-tee-m-10,XS,,,32EA7202-10-XS,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,S,,,32EA7002-19-S,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,M,,,32EA7002-19-M,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,L,,,32EA7002-19-L,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,XL,,,32EA7002-19-XL,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,XXL,,,32EA7002-19-XXL,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,3XL,,,32EA7002-19-3XL,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,4XL,,,32EA7002-19-4XL,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-19,XS,,,32EA7202-19-XS,,,Antrim,,,,20,20
mizuno-men-auth-singlet-m-14,S,,,U2EA7101-14-S,,,Antrim,,,,20,20
mizuno-men-auth-singlet-m-14,M,,,U2EA7101-14-M,,,Antrim,,,,20,20
mizuno-men-auth-singlet-m-14,L,,,U2EA7101-14-L,,,Antrim,,,,20,20
mizuno-men-auth-singlet-m-14,XL,,,U2EA7101-14-XL,,,Antrim,,,,20,20
mizuno-men-auth-singlet-m-14,XXL,,,U2EA7101-14-XXL,,,Antrim,,,,0,0
mizuno-men-auth-singlet-m-14,3XL,,,U2EA7101-14-3XL,,,Antrim,,,,0,0
mizuno-men-auth-singlet-m-14,4XL,,,U2EA7101-14-4XL,,,Antrim,,,,0,0
mizuno-men-auth-singlet-m-14,XS,,,U2EA7301-14-XS,,,Antrim,,,,20,20
mizuno-shizuoka-t-fleece-m-black,XS,,,32EE8A01-09-XS,,,Antrim,,,,0,0
mizuno-shizuoka-t-fleece-m-black,S,,,32EE8A01-09-S,,,Antrim,,,,20,20
mizuno-shizuoka-t-fleece-m-black,M,,,32EE8A01-09-M,,,Antrim,,,,0,0
mizuno-shizuoka-t-fleece-m-black,L,,,32EE8A01-09-L,,,Antrim,,,,0,0
mizuno-shizuoka-t-fleece-m-black,XL,,,32EE8A01-09-XL,,,Antrim,,,,20,20
mizuno-shizuoka-t-fleece-m-black,XXL,,,32EE8A01-09-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-t-fleece-m-black,3XL,,,32EE8A01-09-3XL,,,Antrim,,,,20,20
mizuno-shizuoka-t-fleece-m-black,4XL,,,32EE8A01-09-4XL,,,Antrim,,,,20,20
mizuno-shizuoka-spls-top-m-m-black,S,,,32EC8A02-09-S,,,Antrim,,,,20,20
mizuno-shizuoka-spls-top-m-m-black,M,,,32EC8A02-09-M,,,Antrim,,,,13,13
mizuno-shizuoka-spls-top-m-m-black,L,,,32EC8A02-09-L,,,Antrim,,,,16,16
mizuno-shizuoka-spls-top-m-m-black,XL,,,32EC8A02-09-XL,,,Antrim,,,,20,20
mizuno-shizuoka-spls-top-m-m-black,XXL,,,32EC8A02-09-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-spls-top-m-m-black,3XL,,,32EC8A02-09-3XL,,,Antrim,,,,20,20
mizuno-shizuoka-spls-top-m-m-black,4XL,,,32EC8A02-09-4XL,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,S,,,32FC9A03-09-S,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,M,,,32FC9A03-09-M,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,L,,,32FC9A03-09-L,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,XL,,,32FC9A03-09-XL,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,XXL,,,32FC9A03-09-XXL,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,3XL,,,32FC9A03-09-3XL,,,Antrim,,,,20,20
mizuno-nara-trn-swt-m-m-09,4XL,,,32FC9A03-09-4XL,,,Antrim,,,,4,4
mizuno-nara-trn-swt-m-m-09,XS,,,32FC9A03-09-XS,,,Antrim,,,,0,0
mizuno-nara-track-pant-m-m-black,S,,,32FD9A01-09-S,,,Antrim,,,,20,20
mizuno-nara-track-pant-m-m-black,M,,,32FD9A01-09-M,,,Antrim,,,,20,20
mizuno-nara-track-pant-m-m-black,L,,,32FD9A01-09-L,,,Antrim,,,,20,20
mizuno-nara-track-pant-m-m-black,XL,,,32FD9A01-09-XL,,,Antrim,,,,20,20
mizuno-nara-track-pant-m-m-black,XXL,,,32FD9A01-09-XXL,,,Antrim,,,,20,20
mizuno-nara-track-pant-m-m-black,3XL,,,32FD9A01-09-3XL,,,Antrim,,,,20,20
mizuno-nara-track-pant-m-m-black,4XL,,,32FD9A01-09-4XL,,,Antrim,,,,20,20
mizuno-mizuno-ter-hoodie-w-w-grey-melange,XS,,,32EC9C60-07-XS,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-grey-melange,S,,,32EC9C60-07-S,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-grey-melange,M,,,32EC9C60-07-M,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-grey-melange,L,,,32EC9C60-07-L,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-grey-melange,XL,,,32EC9C60-07-XL,,,Antrim,,,,17,17
mizuno-mizuno-ter-hoodie-w-w-grey-melange,XXL,,,32EC9C60-07-XXL,,,Antrim,,,,15,15
mizuno-mizuno-ter-hoodie-w-w-grey-melange,3XL,,,32EC9C60-07-3XL,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,XS,,,32EC9C60-14-XS,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,S,,,32EC9C60-14-S,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,M,,,32EC9C60-14-M,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,L,,,32EC9C60-14-L,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,XL,,,32EC9C60-14-XL,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,XXL,,,32EC9C60-14-XXL,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-navy,3XL,,,32EC9C60-14-3XL,,,Antrim,,,,0,0
mizuno-mizuno-ter-hoodie-w-w-black,XS,,,32EC9C60C-09-XS,,,Antrim,,,,20,20
mizuno-mizuno-ter-hoodie-w-w-black,S,,,32EC9C60C-09-S,,,Antrim,,,,20,20
mizuno-mizuno-ter-hoodie-w-w-black,M,,,32EC9C60C-09-M,,,Antrim,,,,5,5
mizuno-mizuno-ter-hoodie-w-w-black,L,,,32EC9C60C-09-L,,,Antrim,,,,8,8
mizuno-mizuno-ter-hoodie-w-w-black,XL,,,32EC9C60C-09-XL,,,Antrim,,,,5,5
mizuno-mizuno-ter-hoodie-w-w-black,XXL,,,32EC9C60C-09-XXL,,,Antrim,,,,11,11
mizuno-mizuno-ter-hoodie-w-w-black,3XL,,,32EC9C60C-09-3XL,,,Antrim,,,,0,0
mizuno-authentic-skort-w-w-black,XS,,,32EB8C14-09-XS,,,Antrim,,,,20,20
mizuno-authentic-skort-w-w-black,S,,,32EB8C14-09-S,,,Antrim,,,,20,20
mizuno-authentic-skort-w-w-black,M,,,32EB8C14-09-M,,,Antrim,,,,20,20
mizuno-authentic-skort-w-w-black,L,,,32EB8C14-09-L,,,Antrim,,,,20,20
mizuno-authentic-skort-w-w-black,XL,,,32EB8C14-09-XL,,,Antrim,,,,20,20
mizuno-authentic-skort-w-w-black,XXL,,,32EB8C14-09-XXL,,,Antrim,,,,20,20
mizuno-authentic-skort-w-w-black,3XL,,,32EB8C14-09-3XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-grey,XS,,,32EA8C05-05-XS,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-grey,S,,,32EA8C05-05-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-grey,M,,,32EA8C05-05-M,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-grey,L,,,32EA8C05-05-L,,,Antrim,,,,12,12
mizuno-shizuoka-ft-tee-w-w-grey,XL,,,32EA8C05-05-XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-grey,XXL,,,32EA8C05-05-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-grey,3XL,,,32EA8C05-05-3XL,,,Antrim,,,,0,0
