Handle,Option1 Value,Option2 Value,Option3 Value,SKU,Location,On hand (new)
32ea8a06-05,4XL,,,32EA8A06-05-4XL,Antrim,20
32ea8a06-14,S,,,32EA8A06-14-S,Antrim,20
32ea8a06-14,M,,,32EA8A06-14-M,Antrim,20
32ea8a06-14,L,,,32EA8A06-14-L,Antrim,20
32ea8a06-14,XL,,,32EA8A06-14-XL,Antrim,20
32ea8a06-14,XXL,,,32EA8A06-14-XXL,Antrim,20
32ea8a06-14,3XL,,,32EA8A06-14-3XL,Antrim,20
32ea8a06-14,4XL,,,32EA8A06-14-4XL,Antrim,20
32ea7001-14,S,,,32EA7001-14-S,Antrim,20
32ea7001-14,M,,,32EA7001-14-M,Antrim,0
32ea7001-14,L,,,32EA7001-14-L,Antrim,7
32ea7001-14,XL,,,32EA7001-14-XL,Antrim,19
32ea7001-14,XXL,,,32EA7001-14-XXL,Antrim,20
32ea7001-14,3XL,,,32EA7001-14-3XL,Antrim,20
32ea7001-14,4XL,,,32EA7001-14-4XL,Antrim,17
32ea7201-14,XS,,,32EA7201-14-XS,Antrim,20
32ea7002-10,S,,,32EA7002-10-S,Antrim,0
32ea7002-10,M,,,32EA7002-10-M,Antrim,1
32ea7002-10,L,,,32EA7002-10-L,Antrim,20
32ea7002-10,XL,,,32EA7002-10-XL,Antrim,20
32ea7002-10,XXL,,,32EA7002-10-XXL,Antrim,20
32ea7002-10,3XL,,,32EA7002-10-3XL,Antrim,20
32ea7002-10,4XL,,,32EA7002-10-4XL,Antrim,9
32ea7202-10,XS,,,32EA7202-10-XS,Antrim,20
32ea7002-19,S,,,32EA7002-19-S,Antrim,20
32ea7002-19,M,,,32EA7002-19-M,Antrim,20
32ea7002-19,L,,,32EA7002-19-L,Antrim,20
32ea7002-19,XL,,,32EA7002-19-XL,Antrim,20
32ea7002-19,XXL,,,32EA7002-19-XXL,Antrim,20
32ea7002-19,3XL,,,32EA7002-19-3XL,Antrim,20
32ea7002-19,4XL,,,32EA7002-19-4XL,Antrim,20
32ea7202-19,XS,,,32EA7202-19-XS,Antrim,20
u2ea7101-14,S,,,U2EA7101-14-S,Antrim,20
u2ea7101-14,M,,,U2EA7101-14-M,Antrim,20
u2ea7101-14,L,,,U2EA7101-14-L,Antrim,20
u2ea7101-14,XL,,,U2EA7101-14-XL,Antrim,20
u2ea7101-14,XXL,,,U2EA7101-14-XXL,Antrim,0
u2ea7101-14,3XL,,,U2EA7101-14-3XL,Antrim,0
u2ea7101-14,4XL,,,U2EA7101-14-4XL,Antrim,0
u2ea7301-14,XS,,,U2EA7301-14-XS,Antrim,20
32eab565-14,S,,,32EAB565-14-S,Antrim,20
32eab565-14,M,,,32EAB565-14-M,Antrim,20
32eab565-14,L,,,32EAB565-14-L,Antrim,13
32eab565-14,XL,,,32EAB565-14-XL,Antrim,0
32eab565-14,XXL,,,32EAB565-14-XXL,Antrim,0
32eab565-14,3XL,,,32EAB565-14-3XL,Antrim,0
32eab565-14,4XL,,,32EAB565-14-4XL,Antrim,20
32eab565-14,XS,,,32EAB565-14-XS,Antrim,20
32eab565-71,S,,,32EAB565-71-S,Antrim,20
32eab565-71,M,,,32EAB565-71-M,Antrim,20
32eab565-71,L,,,32EAB565-71-L,Antrim,20
32eab565-71,XL,,,32EAB565-71-XL,Antrim,20
32eab565-71,XXL,,,32EAB565-71-XXL,Antrim,20
32eab565-71,3XL,,,32EAB565-71-3XL,Antrim,20
32eab565-71,4XL,,,32EAB565-71-4XL,Antrim,20
32eab565-71,XS,,,32EAB565-71-XS,Antrim,0
32ee8a01-09,XS,,,32EE8A01-09-XS,Antrim,0
32ee8a01-09,S,,,32EE8A01-09-S,Antrim,20
32ee8a01-09,M,,,32EE8A01-09-M,Antrim,0
32ee8a01-09,L,,,32EE8A01-09-L,Antrim,0
32ee8a01-09,XL,,,32EE8A01-09-XL,Antrim,20
32ee8a01-09,XXL,,,32EE8A01-09-XXL,Antrim,20
