Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand (new)
mizuno-shizuoka-ft-tee-m-m-navy,Mizuno - Shizuoka Ft Tee M(m) - Navy,Size,XL,,,,,32EA8A05-14-XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-tee-m-m-navy,Mizuno - Shizuoka Ft Tee M(m) - Navy,Size,XXL,,,,,32EA8A05-14-XXL,,,Antrim,,,,,20
mizuno-shizuoka-ft-tee-m-m-navy,Mizuno - Shizuoka Ft Tee M(m) - Navy,Size,3XL,,,,,32EA8A05-14-3XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-tee-m-m-navy,Mizuno - Shizuoka Ft Tee M(m) - Navy,Size,4XL,,,,,32EA8A05-14-4XL,,,Antrim,,,,,19
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,S,,,,,32EA8A06-05-S,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,M,,,,,32EA8A06-05-M,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,L,,,,,32EA8A06-05-L,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,XL,,,,,32EA8A06-05-XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,XXL,,,,,32EA8A06-05-XXL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,3XL,,,,,32EA8A06-05-3XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,Size,4XL,,,,,32EA8A06-05-4XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,S,,,,,32EA8A06-14-S,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,M,,,,,32EA8A06-14-M,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,L,,,,,32EA8A06-14-L,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,XL,,,,,32EA8A06-14-XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,XXL,,,,,32EA8A06-14-XXL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,3XL,,,,,32EA8A06-14-3XL,,,Antrim,,,,,20
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,Size,4XL,,,,,32EA8A06-14-4XL,,,Antrim,,,,,20
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,S,,,,,32EA7001-14-S,,,Antrim,,,,,20
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,M,,,,,32EA7001-14-M,,,Antrim,,,,,0
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,L,,,,,32EA7001-14-L,,,Antrim,,,,,7
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,XL,,,,,32EA7001-14-XL,,,Antrim,,,,,19
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,XXL,,,,,32EA7001-14-XXL,,,Antrim,,,,,20
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,3XL,,,,,32EA7001-14-3XL,,,Antrim,,,,,20
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,4XL,,,,,32EA7001-14-4XL,,,Antrim,,,,,17
mizuno-men-core-polo-m-14,Mizuno - Men Core Polo (m) - 14,Size,XS,,,,,32EA7201-14-XS,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,S,,,,,32EA7002-10-S,,,Antrim,,,,,0
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,M,,,,,32EA7002-10-M,,,Antrim,,,,,1
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,L,,,,,32EA7002-10-L,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,XL,,,,,32EA7002-10-XL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,XXL,,,,,32EA7002-10-XXL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,3XL,,,,,32EA7002-10-3XL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,4XL,,,,,32EA7002-10-4XL,,,Antrim,,,,,9
mizuno-men-core-ss-tee-m-10,Mizuno - Men Core Ss Tee(m) - 10,Size,XS,,,,,32EA7202-10-XS,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,S,,,,,32EA7002-19-S,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,M,,,,,32EA7002-19-M,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,L,,,,,32EA7002-19-L,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,XL,,,,,32EA7002-19-XL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,XXL,,,,,32EA7002-19-XXL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,3XL,,,,,32EA7002-19-3XL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,4XL,,,,,32EA7002-19-4XL,,,Antrim,,,,,20
mizuno-men-core-ss-tee-m-19,Mizuno - Men Core Ss Tee(m) - 19,Size,XS,,,,,32EA7202-19-XS,,,Antrim,,,,,20
mizuno-men-auth-singlet-m-14,Mizuno - Men Auth Singlet(m) - 14,Size,S,,,,,U2EA7101-14-S,,,Antrim,,,,,20
mizuno-men-auth-singlet-m-14,Mizuno - Men Auth Singlet(m) - 14,Size,M,,,,,U2EA7101-14-M,,,Antrim,,,,,20
mizuno-men-auth-singlet-m-14,Mizuno - Men Auth Singlet(m) - 14,Size,L,,,,,U2EA7101-14-L,,,Antrim,,,,,20
