Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-shizuoka-ft-tee-m-m-navy,,,,,,,FALSE,Size,3XL,32EA8A05-14-3XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-navy,,,,,,,FALSE,Size,4XL,32EA8A05-14-4XL,26,,shopify,19,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-grey,Mizuno - Shizuoka Ft Polo M(m) - Grey,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ea8a06, colour-05, color-grey, vat-standard",FALSE,Size,S,32EA8A06-05-S,26,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EA8A0605.jpg,1,13
mizuno-shizuoka-ft-polo-m-m-grey,,,,,,,FALSE,Size,M,32EA8A06-05-M,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-grey,,,,,,,FALSE,Size,L,32EA8A06-05-L,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-grey,,,,,,,FALSE,Size,XL,32EA8A06-05-XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-grey,,,,,,,FALSE,Size,XXL,32EA8A06-05-XXL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-grey,,,,,,,FALSE,Size,3XL,32EA8A06-05-3XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-grey,,,,,,,FALSE,Size,4XL,32EA8A06-05-4XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-navy,Mizuno - Shizuoka Ft Polo M(m) - Navy,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ea8a06, colour-14, color-navy, vat-standard",FALSE,Size,S,32EA8A06-14-S,26,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EA8A0614.jpg,1,13
mizuno-shizuoka-ft-polo-m-m-navy,,,,,,,FALSE,Size,M,32EA8A06-14-M,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-navy,,,,,,,FALSE,Size,L,32EA8A06-14-L,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-polo-m-m-navy,,,,,,,FALSE,Size,XL,32EA8A06-14-XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
