sku,available,note
32EA7202-10-XS,20,Verify inventory if 20+ capped at 20.
32EA7002-10-S,0,Verify inventory if 20+ capped at 20.
32EA7002-10-M,1,Verify inventory if 20+ capped at 20.
32EA7002-10-L,20,Verify inventory if 20+ capped at 20.
32EA7002-10-XL,20,Verify inventory if 20+ capped at 20.
32EA7002-10-XXL,20,Verify inventory if 20+ capped at 20.
32EA7002-10-3XL,20,Verify inventory if 20+ capped at 20.
32EA7002-10-4XL,9,Verify inventory if 20+ capped at 20.
32EA7401-19-Y6,,Verify inventory if 20+ capped at 20.
32EA7401-19-Y8,,Verify inventory if 20+ capped at 20.
32EA7401-19-Y10,,Verify inventory if 20+ capped at 20.
32EA7401-19-Y12,,Verify inventory if 20+ capped at 20.
32EA7401-19-Y14,,Verify inventory if 20+ capped at 20.
32EA7202-19-XS,20,Verify inventory if 20+ capped at 20.
32EA7002-19-S,20,Verify inventory if 20+ capped at 20.
32EA7002-19-M,20,Verify inventory if 20+ capped at 20.
32EA7002-19-L,20,Verify inventory if 20+ capped at 20.
32EA7002-19-XL,20,Verify inventory if 20+ capped at 20.
32EA7002-19-XXL,20,Verify inventory if 20+ capped at 20.
32EA7002-19-3XL,20,Verify inventory if 20+ capped at 20.
32EA7002-19-4XL,20,Verify inventory if 20+ capped at 20.
U2EA7301-14-XS,20,Verify inventory if 20+ capped at 20.
U2EA7101-14-S,20,Verify inventory if 20+ capped at 20.
U2EA7101-14-M,20,Verify inventory if 20+ capped at 20.
U2EA7101-14-L,20,Verify inventory if 20+ capped at 20.
U2EA7101-14-XL,20,Verify inventory if 20+ capped at 20.
U2EA7101-14-XXL,0,Verify inventory if 20+ capped at 20.
U2EA7101-14-3XL,0,Verify inventory if 20+ capped at 20.
U2EA7101-14-4XL,0,Verify inventory if 20+ capped at 20.
32EAB565-14-XS,20,Verify inventory if 20+ capped at 20.
32EAB565-14-S,20,Verify inventory if 20+ capped at 20.
32EAB565-14-M,20,Verify inventory if 20+ capped at 20.
32EAB565-14-L,13,Verify inventory if 20+ capped at 20.
32EAB565-14-XL,0,Verify inventory if 20+ capped at 20.
32EAB565-14-XXL,0,Verify inventory if 20+ capped at 20.
32EAB565-14-3XL,0,Verify inventory if 20+ capped at 20.
32EAB565-14-4XL,20,Verify inventory if 20+ capped at 20.
32EAB565-71-XS,0,Verify inventory if 20+ capped at 20.
32EAB565-71-S,20,Verify inventory if 20+ capped at 20.
32EAB565-71-M,20,Verify inventory if 20+ capped at 20.
32EAB565-71-L,20,Verify inventory if 20+ capped at 20.
32EAB565-71-XL,20,Verify inventory if 20+ capped at 20.
32EAB565-71-XXL,20,Verify inventory if 20+ capped at 20.
32EAB565-71-3XL,20,Verify inventory if 20+ capped at 20.
32EAB565-71-4XL,20,Verify inventory if 20+ capped at 20.
32EE8B01-09-Y6,,Verify inventory if 20+ capped at 20.
32EE8B01-09-Y8,,Verify inventory if 20+ capped at 20.
32EE8B01-09-Y10,,Verify inventory if 20+ capped at 20.
32EE8B01-09-Y12,,Verify inventory if 20+ capped at 20.
32EE8B01-09-Y14,,Verify inventory if 20+ capped at 20.
32EE8A01-09-XS,0,Verify inventory if 20+ capped at 20.
32EE8A01-09-S,20,Verify inventory if 20+ capped at 20.
32EE8A01-09-M,0,Verify inventory if 20+ capped at 20.
32EE8A01-09-L,0,Verify inventory if 20+ capped at 20.
32EE8A01-09-XL,20,Verify inventory if 20+ capped at 20.
32EE8A01-09-XXL,20,Verify inventory if 20+ capped at 20.
32EE8A01-09-3XL,20,Verify inventory if 20+ capped at 20.
32EE8A01-09-4XL,20,Verify inventory if 20+ capped at 20.
32EC8B02-09-Y6,,Verify inventory if 20+ capped at 20.
32EC8B02-09-Y8,,Verify inventory if 20+ capped at 20.
32EC8B02-09-Y10,,Verify inventory if 20+ capped at 20.
32EC8B02-09-Y12,,Verify inventory if 20+ capped at 20.
32EC8B02-09-Y14,,Verify inventory if 20+ capped at 20.
32EC8A02-09-S,20,Verify inventory if 20+ capped at 20.
32EC8A02-09-M,13,Verify inventory if 20+ capped at 20.
32EC8A02-09-L,16,Verify inventory if 20+ capped at 20.
32EC8A02-09-XL,20,Verify inventory if 20+ capped at 20.
32EC8A02-09-XXL,20,Verify inventory if 20+ capped at 20.
32EC8A02-09-3XL,20,Verify inventory if 20+ capped at 20.
32EC8A02-09-4XL,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-XS,0,Verify inventory if 20+ capped at 20.
32FC9A03-09-S,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-M,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-L,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-XL,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-XXL,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-3XL,20,Verify inventory if 20+ capped at 20.
32FC9A03-09-4XL,4,Verify inventory if 20+ capped at 20.
32ECA505-09-XS,0,Verify inventory if 20+ capped at 20.
32ECA505-09-S,20,Verify inventory if 20+ capped at 20.
32ECA505-09-M,20,Verify inventory if 20+ capped at 20.
32ECA505-09-L,20,Verify inventory if 20+ capped at 20.
32ECA505-09-XL,20,Verify inventory if 20+ capped at 20.
32ECA505-09-XXL,20,Verify inventory if 20+ capped at 20.
32ECA505-09-3XL,20,Verify inventory if 20+ capped at 20.
32ECA505-09-4XL,9,Verify inventory if 20+ capped at 20.
32FD9B01-09-Y6,,Verify inventory if 20+ capped at 20.
32FD9B01-09-Y8,,Verify inventory if 20+ capped at 20.
32FD9B01-09-Y10,,Verify inventory if 20+ capped at 20.
32FD9B01-09-Y12,,Verify inventory if 20+ capped at 20.
32FD9B01-09-Y14,,Verify inventory if 20+ capped at 20.
32FD9A01-09-S,20,Verify inventory if 20+ capped at 20.
32FD9A01-09-M,20,Verify inventory if 20+ capped at 20.
32FD9A01-09-L,20,Verify inventory if 20+ capped at 20.
32FD9A01-09-XL,20,Verify inventory if 20+ capped at 20.
32FD9A01-09-XXL,20,Verify inventory if 20+ capped at 20.
32FD9A01-09-3XL,20,Verify inventory if 20+ capped at 20.
32FD9A01-09-4XL,20,Verify inventory if 20+ capped at 20.
32EC9B60-07-Y6,,Verify inventory if 20+ capped at 20.
32EC9B60-07-Y8,,Verify inventory if 20+ capped at 20.
32EC9B60-07-Y10,,Verify inventory if 20+ capped at 20.
32EC9B60-07-Y12,,Verify inventory if 20+ capped at 20.
32EC9B60-07-Y14,,Verify inventory if 20+ capped at 20.
32EC7B60-07-XXS,,Verify inventory if 20+ capped at 20.
32EC9C60-07-XS,0,Verify inventory if 20+ capped at 20.
32EC9C60-07-S,0,Verify inventory if 20+ capped at 20.
32EC9C60-07-M,0,Verify inventory if 20+ capped at 20.
32EC9C60-07-L,0,Verify inventory if 20+ capped at 20.
32EC9C60-07-XL,17,Verify inventory if 20+ capped at 20.
32EC9C60-07-XXL,15,Verify inventory if 20+ capped at 20.
32EC9C60-07-3XL,0,Verify inventory if 20+ capped at 20.
32EC7B60-07-4XL,,Verify inventory if 20+ capped at 20.
32EC9B60-14-Y6,,Verify inventory if 20+ capped at 20.
32EC9B60-14-Y8,,Verify inventory if 20+ capped at 20.
32EC9B60-14-Y10,,Verify inventory if 20+ capped at 20.
32EC9B60-14-Y12,,Verify inventory if 20+ capped at 20.
32EC9B60-14-Y14,,Verify inventory if 20+ capped at 20.
32EC7B60-14-XXS,,Verify inventory if 20+ capped at 20.
32EC9C60-14-XS,0,Verify inventory if 20+ capped at 20.
32EC9C60-14-S,0,Verify inventory if 20+ capped at 20.
32EC9C60-14-M,0,Verify inventory if 20+ capped at 20.
32EC9C60-14-L,0,Verify inventory if 20+ capped at 20.
32EC9C60-14-XL,0,Verify inventory if 20+ capped at 20.
32EC9C60-14-XXL,0,Verify inventory if 20+ capped at 20.
32EC9C60-14-3XL,0,Verify inventory if 20+ capped at 20.
32EC7B60-14-4XL,,Verify inventory if 20+ capped at 20.
32EC9B60C-09-Y6,,Verify inventory if 20+ capped at 20.
32EC9B60C-09-Y8,,Verify inventory if 20+ capped at 20.
32EC9B60C-09-Y10,,Verify inventory if 20+ capped at 20.
32EC9B60C-09-Y12,,Verify inventory if 20+ capped at 20.
32EC9B60C-09-Y14,,Verify inventory if 20+ capped at 20.
32EC7B60C-09-XXS,,Verify inventory if 20+ capped at 20.
32EC9C60C-09-XS,20,Verify inventory if 20+ capped at 20.
32EC9C60C-09-S,20,Verify inventory if 20+ capped at 20.
32EC9C60C-09-M,5,Verify inventory if 20+ capped at 20.
32EC9C60C-09-L,8,Verify inventory if 20+ capped at 20.
32EC9C60C-09-XL,5,Verify inventory if 20+ capped at 20.
32EC9C60C-09-XXL,11,Verify inventory if 20+ capped at 20.
32EC9C60C-09-3XL,0,Verify inventory if 20+ capped at 20.
32EC7B60C-09-4XL,,Verify inventory if 20+ capped at 20.
32ECA760-09-XS,20,Verify inventory if 20+ capped at 20.
32ECA760-09-S,20,Verify inventory if 20+ capped at 20.
32ECA760-09-M,20,Verify inventory if 20+ capped at 20.
32ECA760-09-L,20,Verify inventory if 20+ capped at 20.
32ECA760-09-XL,20,Verify inventory if 20+ capped at 20.
32ECA760-09-XXL,16,Verify inventory if 20+ capped at 20.
32ECA760-09-3XL,0,Verify inventory if 20+ capped at 20.
32ECA760-62-XS,20,Verify inventory if 20+ capped at 20.
32ECA760-62-S,20,Verify inventory if 20+ capped at 20.
32ECA760-62-M,20,Verify inventory if 20+ capped at 20.
32ECA760-62-L,20,Verify inventory if 20+ capped at 20.
32ECA760-62-XL,20,Verify inventory if 20+ capped at 20.
32ECA760-62-XXL,20,Verify inventory if 20+ capped at 20.
32ECA760-62-3XL,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-XXS,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-XS,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-S,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-M,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-L,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-XL,13,Verify inventory if 20+ capped at 20.
U2EB7201-14-XXL,0,Verify inventory if 20+ capped at 20.
U2EB7201-14-3XL,0,Verify inventory if 20+ capped at 20.
32EB8C14-09-XS,20,Verify inventory if 20+ capped at 20.
32EB8C14-09-S,20,Verify inventory if 20+ capped at 20.
32EB8C14-09-M,20,Verify inventory if 20+ capped at 20.
32EB8C14-09-L,20,Verify inventory if 20+ capped at 20.
32EB8C14-09-XL,20,Verify inventory if 20+ capped at 20.
32EB8C14-09-XXL,20,Verify inventory if 20+ capped at 20.
32EB8C14-09-3XL,20,Verify inventory if 20+ capped at 20.
32EA8C05-05-XS,20,Verify inventory if 20+ capped at 20.
32EA8C05-05-S,20,Verify inventory if 20+ capped at 20.
32EA8C05-05-M,20,Verify inventory if 20+ capped at 20.
32EA8C05-05-L,12,Verify inventory if 20+ capped at 20.
32EA8C05-05-XL,20,Verify inventory if 20+ capped at 20.
32EA8C05-05-XXL,20,Verify inventory if 20+ capped at 20.
32EA8C05-05-3XL,0,Verify inventory if 20+ capped at 20.
32EA8C05-14-XS,20,Verify inventory if 20+ capped at 20.
32EA8C05-14-S,20,Verify inventory if 20+ capped at 20.
32EA8C05-14-M,10,Verify inventory if 20+ capped at 20.
32EA8C05-14-L,20,Verify inventory if 20+ capped at 20.
32EA8C05-14-XL,0,Verify inventory if 20+ capped at 20.
32EA8C05-14-XXL,13,Verify inventory if 20+ capped at 20.
32EA8C05-14-3XL,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-XS,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-S,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-M,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-L,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-XL,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-XXL,0,Verify inventory if 20+ capped at 20.
32EA8C06-05-3XL,0,Verify inventory if 20+ capped at 20.
32EA8C06-14-XS,20,Verify inventory if 20+ capped at 20.
32EA8C06-14-S,20,Verify inventory if 20+ capped at 20.
32EA8C06-14-M,20,Verify inventory if 20+ capped at 20.
32EA8C06-14-L,20,Verify inventory if 20+ capped at 20.
32EA8C06-14-XL,20,Verify inventory if 20+ capped at 20.
32EA8C06-14-XXL,20,Verify inventory if 20+ capped at 20.
32EA8C06-14-3XL,0,Verify inventory if 20+ capped at 20.
32EEA710-14-XS,20,Verify inventory if 20+ capped at 20.
32EEA710-14-S,20,Verify inventory if 20+ capped at 20.
32EEA710-14-M,20,Verify inventory if 20+ capped at 20.
32EEA710-14-L,20,Verify inventory if 20+ capped at 20.
32EEA710-14-XL,19,Verify inventory if 20+ capped at 20.
32EEA710-14-XXL,4,Verify inventory if 20+ capped at 20.
32ECA703-14-XS,20,Verify inventory if 20+ capped at 20.
32ECA703-14-S,20,Verify inventory if 20+ capped at 20.
32ECA703-14-M,20,Verify inventory if 20+ capped at 20.
32ECA703-14-L,20,Verify inventory if 20+ capped at 20.
32ECA703-14-XL,20,Verify inventory if 20+ capped at 20.
32ECA703-14-XXL,20,Verify inventory if 20+ capped at 20.
32ECA705-09-XS,20,Verify inventory if 20+ capped at 20.
32ECA705-09-S,20,Verify inventory if 20+ capped at 20.
32ECA705-09-M,20,Verify inventory if 20+ capped at 20.
32ECA705-09-L,20,Verify inventory if 20+ capped at 20.
32ECA705-09-XL,20,Verify inventory if 20+ capped at 20.
32ECA705-09-XXL,20,Verify inventory if 20+ capped at 20.
32ECA705-09-3XL,0,Verify inventory if 20+ capped at 20.
32ED8B01-09-Y6,,Verify inventory if 20+ capped at 20.
32ED8B01-09-Y8,,Verify inventory if 20+ capped at 20.
32ED8B01-09-Y10,,Verify inventory if 20+ capped at 20.
32ED8B01-09-Y12,,Verify inventory if 20+ capped at 20.
32ED8B01-09-Y14,,Verify inventory if 20+ capped at 20.
32ED8C01-09-XS,2,Verify inventory if 20+ capped at 20.
32ED8C01-09-S,7,Verify inventory if 20+ capped at 20.
32ED8C01-09-M,17,Verify inventory if 20+ capped at 20.
32ED8C01-09-L,1,Verify inventory if 20+ capped at 20.
32ED8C01-09-XL,8,Verify inventory if 20+ capped at 20.
32ED8C01-09-XXL,0,Verify inventory if 20+ capped at 20.
32ED8C01-09-3XL,0,Verify inventory if 20+ capped at 20.
32ED8A01-09-4XL,,Verify inventory if 20+ capped at 20.
32EDA701-09-XS,20,Verify inventory if 20+ capped at 20.
32EDA701-09-S,20,Verify inventory if 20+ capped at 20.
32EDA701-09-M,20,Verify inventory if 20+ capped at 20.
32EDA701-09-L,20,Verify inventory if 20+ capped at 20.
32EDA701-09-XL,20,Verify inventory if 20+ capped at 20.
32EDA701-09-XXL,20,Verify inventory if 20+ capped at 20.
32EDA701-09-3XL,0,Verify inventory if 20+ capped at 20.
32EB4B03-01-Y6,,Verify inventory if 20+ capped at 20.
32EB4B03-01-Y8,,Verify inventory if 20+ capped at 20.
32EB4B03-01-Y10,,Verify inventory if 20+ capped at 20.
32EB4B03-01-Y12,,Verify inventory if 20+ capped at 20.
32EB1B06-01-Y14,,Verify inventory if 20+ capped at 20.
32EB4B03-01-YXS,,Verify inventory if 20+ capped at 20.
32EB1A06-01-XS,,Verify inventory if 20+ capped at 20.
32EB4A03-01-S,,Verify inventory if 20+ capped at 20.
32EB4A03-01-M,,Verify inventory if 20+ capped at 20.
32EB4A03-01-L,,Verify inventory if 20+ capped at 20.
