Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,XXL,32EE4A23-09-XXL,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,3XL,32EE4A23-09-3XL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,Mizuno - Sideline Jacket (m) - 09,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ee6a10, colour-09, vat-standard",FALSE,Size,S,32EE6A10-09-S,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EE6A1009.jpg,1,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,M,32EE6A10-09-M,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,L,32EE6A10-09-L,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,XL,32EE6A10-09-XL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,XXL,32EE6A10-09-XXL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,3XL,32EE6A10-09-3XL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,4XL,32EE6A10-09-4XL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,Mizuno - Sapporo Hybrid Jkt M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32fe9a02, colour-09, color-black, vat-standard",FALSE,Size,S,32FE9A02-09-S,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32FE9A0209.jpg,1,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,M,32FE9A02-09-M,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,L,32FE9A02-09-L,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,XL,32FE9A02-09-XL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,XXL,32FE9A02-09-XXL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,3XL,32FE9A02-09-3XL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,4XL,32FE9A02-09-4XL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,XS,32FE9A02-09-XS,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,Mizuno - Sapporo Hybrid Glt M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32fe9a06, colour-09, color-black, vat-standard",FALSE,Size,S,32FE9A06-09-S,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32FE9A0609.jpg,1,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,M,32FE9A06-09-M,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,L,32FE9A06-09-L,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,XL,32FE9A06-09-XL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,XXL,32FE9A06-09-XXL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,3XL,32FE9A06-09-3XL,50,,TRUE,draft,,,25
